start,end,today,deviceid,general_info/q6_organization,general_info/q7_assessment_code,general_info/assessment_type,general_info/gps,general_info/q2_date_assessment,general_info/q3_province,general_info/q4_district,general_info/q5_market_name_city,s1_full_market_survey/q1_3_market_size,s1_full_market_survey/q1_4_market_appearance,s1_full_market_survey/q1_5_comodities_you_sell,s1_full_market_survey/q1_6_supplies_come_from,s1_full_market_survey/q1_6_1buy_locally,s1_full_market_survey/q1_6_2_another_city,s1_full_market_survey/q1_6_3_imported_directly_neighboring_country,s1_full_market_survey/q1_6_3_imported_directly_neighboring_country/pakistan,s1_full_market_survey/q1_6_3_imported_directly_neighboring_country/iran,s1_full_market_survey/q1_6_3_imported_directly_neighboring_country/kazakistan,s1_full_market_survey/q1_6_3_imported_directly_neighboring_country/tajikistan,s1_full_market_survey/q1_6_3_imported_directly_neighboring_country/uzbekistan,s1_full_market_survey/q1_7_you_your_supplier_face_problem,s1_full_market_survey/q1_7_you_your_supplier_face_problem/no_problem,s1_full_market_survey/q1_7_you_your_supplier_face_problem/higher_transportation_cost,s1_full_market_survey/q1_7_you_your_supplier_face_problem/insecurity_on_roads,s1_full_market_survey/q1_7_you_your_supplier_face_problem/very_high_insecurity_on_roads,s1_full_market_survey/q1_7_you_your_supplier_face_problem/other_transportation_problem,s1_full_market_survey/q1_7_1_you_your_supplier_face_problem_other,s1_full_market_survey/q1_8_if_you_had_to_increase_your_sales,s1_full_market_survey/q1_8_if_you_had_to_increase_your_sales/no_constraints,s1_full_market_survey/q1_8_if_you_had_to_increase_your_sales/comodity_shortage_source_market,s1_full_market_survey/q1_8_if_you_had_to_increase_your_sales/prices_at_source_market_exp,s1_full_market_survey/q1_8_if_you_had_to_increase_your_sales/no_money_to_buy_stocks,s1_full_market_survey/q1_8_if_you_had_to_increase_your_sales/not_enough_storage_space,s1_full_market_survey/q1_8_if_you_had_to_increase_your_sales/other,s1_full_market_survey/q1_8_1_if_you_had_to_increase_your_sales_other,s1_full_market_survey/q1_9_shortage_items,s1_full_market_survey/q1_9_1_shortage_items_yes,s1_full_market_survey/q1_10_current_price_wheat_flour,s1_full_market_survey/q1_10_1_current_price_rice,s1_full_market_survey/q1_10_2_current_price_oil,s1_full_market_survey/q1_10_3_current_price_diesel,s1_full_market_survey/q1_11_two_weeks_wheat_flour,s1_full_market_survey/q1_11_1_current_price_rice,s1_full_market_survey/q1_11_2_current_price_oil,s1_full_market_survey/q1_11_3_current_price_diesel,s1_full_market_survey/q1_12_new_stocks_wheat_flour,s1_full_market_survey/q1_12_1_new_stocks_rice,s1_full_market_survey/q1_12_2_new_stocks_oil,s1_full_market_survey/q1_12_3_new_stocks_diesel,s1_full_market_survey/q1_13_your_customers_face_security_constraints,s1_full_market_survey/q1_14_current_unskill_labor_wage,s1_full_market_survey/q1_15_functional_money_transfer_system,s1_full_market_survey/q1_15_1_functional_money_transfer,s1_full_market_survey/q1_15_1_functional_money_transfer/hawaladars,s1_full_market_survey/q1_15_1_functional_money_transfer/mobile_phone_agent,s1_full_market_survey/q1_15_1_functional_money_transfer/banks,s1_full_market_survey/q1_15_1_functional_money_transfer/remitance_agent,s1_full_market_survey/q1_15_1_functional_money_transfer/other,s1_full_market_survey/q1_15_2_functional_money_transfer_other,s1_full_market_survey/q1_16_displaced_people_rent_room,s1_full_market_survey/q1_16_1_why_not,s1_full_market_survey/q1_16_1_why_not/few_rooms_apartments,s1_full_market_survey/q1_16_1_why_not/don't_have_necessary_docs,s1_full_market_survey/q1_16_1_why_not/cant_afford_rent,s1_full_market_survey/q1_17_1_room_cost_min,s1_full_market_survey/q1_17_2_room_cost_max,s1_full_market_survey/q1_18_other_important_info,S2_shortermarketsurvey/q2_3_current_price_wheat_flour,S2_shortermarketsurvey/q2_3_1_current_price_rice,S2_shortermarketsurvey/q2_3_2_current_price_oil,S2_shortermarketsurvey/q2_3_4_current_price_diesel,S2_shortermarketsurvey/q2_4_1_two_weeks_wheat_flour,S2_shortermarketsurvey/q2_4_2_current_price_rice,S2_shortermarketsurvey/q2_4_3_current_price_oil,S2_shortermarketsurvey/q2_4_4_current_price_diesel,S2_shortermarketsurvey/q2_5_1_new_stocks_wheat_flour,S2_shortermarketsurvey/q2_5_2_new_stocks_rice,S2_shortermarketsurvey/q2_5_3_new_stocks_oil,S2_shortermarketsurvey/q2_5_4_new_stocks_diesel,S2_shortermarketsurvey/q2_6_1_room_cost_min,S2_shortermarketsurvey/q2_6_2_room_cost_max,meta/instanceID,_id,_uuid,_submission_time,_index,_parent_table_name,_parent_index,_tags,_notes,_version,_duration,_submitted_by,_xform_id
2017-08-21T10:03:38.295+04:30,2017-08-22T08:39:00.253+04:30,2017-08-21,357947074071961,ACF,Ac201,full_market_survey,,2017-08-21,Hilmand,Lashkargah,Lashkargah bazar,large,well_function_busy,food_and_nfi,another_city_afghanistan,,Kandahar,,,,,,,no_problem,TRUE,FALSE,FALSE,FALSE,FALSE,,no_constraints,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,no,,27,82,62,50,27,81,62,50,8,10,10,9,no,300,yes,hawaladars banks,TRUE,FALSE,TRUE,FALSE,FALSE,,yes,,,,,2000,8000,No,,,,,,,,,,,,,,,uuid:438004cc-aa2c-499d-8258-77e2dc58ab08,18662778,438004cc-aa2c-499d-8258-77e2dc58ab08,2017-08-22 4:10:14,1,,-1,,,201708201140,81322,erm_afg_user,
2017-08-21T10:17:26.914+04:30,2017-08-22T08:39:59.615+04:30,2017-08-21,357947074071961,ACF,AC201,full_market_survey,,2017-08-21,Hilmand,Lashkargah,Alsubhan market,large,well_function_busy,food_and_nfi,another_city_afghanistan,,Kandahar,,,,,,,no_problem,TRUE,FALSE,FALSE,FALSE,FALSE,,no_constraints,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,no,,29,75,63,50,29,75,63,50,11,10,11,12,no,320,yes,hawaladars banks,TRUE,FALSE,TRUE,FALSE,FALSE,,yes,,,,,1500,9000,No,,,,,,,,,,,,,,,uuid:520894d9-ef74-401f-82c9-d2b760e41bcc,18662779,520894d9-ef74-401f-82c9-d2b760e41bcc,2017-08-22 4:10:17,2,,-1,,,201708201140,80553,erm_afg_user,
2017-08-21T10:23:01.643+04:30,2017-08-22T08:39:37.843+04:30,2017-08-21,357947074071961,ACF,AC201,full_market_survey,,2017-08-21,Hilmand,Lashkargah,Lashkargah bazar,large,well_function_busy,food_and_nfi,another_city_afghanistan,,Hirat,,,,,,,no_problem,TRUE,FALSE,FALSE,FALSE,FALSE,,no_constraints,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,no,,29,78,63,50,29,78,63,50,12,12,15,10,no,320,yes,hawaladars banks,TRUE,FALSE,TRUE,FALSE,FALSE,,yes,,,,,2500,10000,No,,,,,,,,,,,,,,,uuid:6c7f6244-2c83-4478-8fa6-4ddd72f1149d,18662781,6c7f6244-2c83-4478-8fa6-4ddd72f1149d,2017-08-22 4:10:19,3,,-1,,,201708201140,80196,erm_afg_user,
2017-08-28T09:02:28.771+04:30,2017-08-28T10:23:45.979+04:30,2017-08-28,357947074071961,ACF,202,full_market_survey,,2017-08-28,Hilmand,Lashkargah,Papal market,large,well_function_busy,food_and_nfi,another_city_afghanistan,,Kandahar,,,,,,,no_problem,TRUE,FALSE,FALSE,FALSE,FALSE,,no_constraints,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,no,,28,85,75,50,28,85,75,50,9,8,11,12,no,300,yes,hawaladars banks,TRUE,FALSE,TRUE,FALSE,FALSE,,yes,,,,,1500,8000,No,,,,,,,,,,,,,,,uuid:6a505999-87de-49e1-b9d1-2bc6ae3775ea,18818949,6a505999-87de-49e1-b9d1-2bc6ae3775ea,2017-08-28 6:02:08,5,,-1,,,201708201140,4877,erm_afg_user,
2017-08-28T09:13:22.079+04:30,2017-08-28T10:24:09.767+04:30,2017-08-28,357947074071961,ACF,202,full_market_survey,,2017-08-28,Hilmand,Lashkargah,Lashkargah baazar,large,well_function_busy,food_and_nfi,another_city_afghanistan,,Kandahar,,,,,,,no_problem,TRUE,FALSE,FALSE,FALSE,FALSE,,no_constraints,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,no,,27,86,73,50,27,86,73,50,5,15,10,10,no,300,yes,hawaladars banks,TRUE,FALSE,TRUE,FALSE,FALSE,,yes,,,,,1500,7000,No,,,,,,,,,,,,,,,uuid:9f40ed60-2db0-4481-b2f0-b0fcc34a049d,18818964,9f40ed60-2db0-4481-b2f0-b0fcc34a049d,2017-08-28 6:02:14,6,,-1,,,201708201140,4247,erm_afg_user,
2017-08-28T09:18:42.633+04:30,2017-08-28T10:24:01.076+04:30,2017-08-28,357947074071961,ACF,202,full_market_survey,,2017-08-28,Hilmand,Lashkargah,Alsubhan,large,well_function_busy,food_and_nfi,another_city_afghanistan,,Kandahar,,,,,,,no_problem,TRUE,FALSE,FALSE,FALSE,FALSE,,no_constraints,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,no,,26,85,75,50,26,85,75,50,10,8,5,10,no,320,yes,hawaladars banks,TRUE,FALSE,TRUE,FALSE,FALSE,,yes,,,,,2000,7000,No,,,,,,,,,,,,,,,uuid:c9f7a892-c4d2-4957-8c8e-7cf92a5cd28f,18818976,c9f7a892-c4d2-4957-8c8e-7cf92a5cd28f,2017-08-28 6:02:19,7,,-1,,,201708201140,3919,erm_afg_user,
2017-08-28T11:33:11.429+04:30,2017-08-28T14:46:27.887+04:30,2017-08-28,354772081991867,ACTED,A003,full_market_survey,35.91928347945213 64.77937831543386 811.7000122070313 5.0,2017-08-28,Faryab,Maymana,????? ???,large,well_function_busy,food_items,another_city_afghanistan,,Mazar_e_Sharif,,,,,,,no_problem,TRUE,FALSE,FALSE,FALSE,FALSE,,no_constraints,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,don't_know,,25,83,75,50,24,90,72,50,1,1,1,1,no,400,yes,hawaladars banks remitance_agent,TRUE,FALSE,TRUE,TRUE,FALSE,,yes,,,,,3000,6000,0,,,,,,,,,,,,,,,uuid:bc695867-2455-4a3a-bc00-bbc07478394f,18834432,bc695867-2455-4a3a-bc00-bbc07478394f,2017-08-28 10:16:41,8,,-1,,,201708201140,11596,erm_afg_user,
2017-08-28T11:51:45.018+04:30,2017-08-28T14:43:29.049+04:30,2017-08-28,354772081991867,ACTED,A003,full_market_survey,35.91941733844578 64.77950530126691 855.7999877929688 49.5,2017-08-28,Faryab,Maymana,????? ???,large,moderate_function,food_items,another_city_afghanistan,,Mazar_e_Sharif,,,,,,,no_problem,TRUE,FALSE,FALSE,FALSE,FALSE,,no_constraints,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,no,,24,87,80,50,24,90,82,50,1,1,1,0,no,350,yes,hawaladars banks remitance_agent,TRUE,FALSE,TRUE,TRUE,FALSE,,yes,,,,,3500,5000,0,,,,,,,,,,,,,,,uuid:c816de1f-d68a-43c0-87b7-bfcfdf3f0c3e,18834435,c816de1f-d68a-43c0-87b7-bfcfdf3f0c3e,2017-08-28 10:16:43,9,,-1,,,201708201140,10304,erm_afg_user,
2017-08-28T12:03:49.628+04:30,2017-08-28T14:38:11.940+04:30,2017-08-28,354772081991867,ACTED,A003,full_market_survey,35.921681206673384 64.7882264200598 860.9000244140625 18.5,2017-08-28,Faryab,Maymana,??? ?????,large,well_function_busy,food_and_nfi,another_city_afghanistan,,Mazar_e_Sharif,,,,,,,no_problem,TRUE,FALSE,FALSE,FALSE,FALSE,,no_constraints,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,no,,25,83,72,50,25,80,70,50,1,0,0,1,yes,300,yes,hawaladars banks remitance_agent,TRUE,FALSE,TRUE,TRUE,FALSE,,yes,,,,,3000,6000,0,,,,,,,,,,,,,,,uuid:eca9853c-e6ca-45ce-8bc8-552770b34338,18834439,eca9853c-e6ca-45ce-8bc8-552770b34338,2017-08-28 10:16:45,10,,-1,,,201708201140,9262,erm_afg_user,
2017-09-10T15:12:47.734+04:30,2017-09-10T17:53:27.664+04:30,2017-09-10,F0:6B:CA:DE:CE:E9,PIN,P002,full_market_survey,,2017-09-10,Jawzjan,Shiberghan,Bazar sheberghan,medium,moderate_function,food_and_nfi,another_city_afghanistan,,Mazar_e_Sharif,,,,,,,no_problem,TRUE,FALSE,FALSE,FALSE,FALSE,,no_constraints,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,no,,25,70,80,50,25,70,80,43,5,5,5,7,no,300,yes,hawaladars banks remitance_agent,TRUE,FALSE,TRUE,TRUE,FALSE,,yes,,,,,3000,4500,0,,,,,,,,,,,,,,,uuid:4e470412-2f24-4034-8d6b-70c887eb7644,19216919,4e470412-2f24-4034-8d6b-70c887eb7644,2017-09-11 3:44:54,11,,-1,,,201708201140,9640,erm_afg_user,231207
