today,general_info/q6_organization,general_info/q3_province,general_info/q4_district,s1_full_market_survey/q1_3_market_size,s1_full_market_survey/q1_4_market_appearance,s1_full_market_survey/q1_10_current_price_wheat_flour,s1_full_market_survey/q1_10_1_current_price_rice,s1_full_market_survey/q1_10_2_current_price_oil,s1_full_market_survey/q1_10_3_current_price_diesel,s1_full_market_survey/q1_17_1_room_cost_min,s1_full_market_survey/q1_17_2_room_cost_max,_uuid
2017-08-21,ACF,Hilmand,Lashkargah,large,well_function_busy,27,82,62,50,2000,8000,438004cc-aa2c-499d-8258-77e2dc58ab08
2017-08-21,ACF,Hilmand,Lashkargah,large,well_function_busy,29,75,63,50,1500,9000,520894d9-ef74-401f-82c9-d2b760e41bcc
2017-08-21,ACF,Hilmand,Lashkargah,large,well_function_busy,29,78,63,50,2500,10000,6c7f6244-2c83-4478-8fa6-4ddd72f1149d
2017-08-28,ACF,Hilmand,Lashkargah,large,well_function_busy,28,85,75,50,1500,8000,6a505999-87de-49e1-b9d1-2bc6ae3775ea
2017-08-28,ACF,Hilmand,Lashkargah,large,well_function_busy,27,86,73,50,1500,7000,9f40ed60-2db0-4481-b2f0-b0fcc34a049d
2017-08-28,ACF,Hilmand,Lashkargah,large,well_function_busy,26,85,75,50,2000,7000,c9f7a892-c4d2-4957-8c8e-7cf92a5cd28f
2017-08-28,ACTED,Faryab,Maymana,large,well_function_busy,25,83,75,50,3000,6000,bc695867-2455-4a3a-bc00-bbc07478394f
2017-08-28,ACTED,Faryab,Maymana,large,moderate_function,24,87,80,50,3500,5000,c816de1f-d68a-43c0-87b7-bfcfdf3f0c3e
2017-08-28,ACTED,Faryab,Maymana,large,well_function_busy,25,83,72,50,3000,6000,eca9853c-e6ca-45ce-8bc8-552770b34338
2017-09-10,PIN,Jawzjan,Shiberghan,medium,moderate_function,25,70,80,50,3000,4500,4e470412-2f24-4034-8d6b-70c887eb7644
2017-09-10,PIN,Jawzjan,Shiberghan,large,well_function_busy,25,75,80,53,3000,4500,35871c90-a199-464d-bce4-d9f55fc25bc5
2017-09-10,PIN,Jawzjan,Shiberghan,large,well_function_busy,25,52,80,53,2000,4000,7605d0e6-55fe-44d0-8cb1-531cddf8225a
2017-09-13,ACTED,Kunduz,Dasht_e_Archi,large,well_function_busy,24,75,112,50,500,700,4c72b813-47e0-4c66-9eac-67f880799422
2017-09-13,ACTED,Kunduz,Dasht_e_Archi,large,well_function_busy,26,80,120,51,350,500,0580c6bf-2be2-4de0-a150-5d419399286b
2017-09-13,ACTED,Kunduz,Dasht_e_Archi,large,well_function_busy,25,76,115,51,380,480,d022cb6a-d075-4290-991c-05b76c919050
2017-09-14,ACTED,Kunduz,Aliabad,large,well_function_busy,25,90,120,50,600,700,0238ccf2-a41e-4603-897d-eaeb3755628b
2017-09-14,ACTED,Kunduz,Aliabad,large,well_function_busy,26,95,75,50,500,550,c55aa8bd-8011-47fa-b401-ab65ee46ef3e
2017-09-14,ACTED,Kunduz,Aliabad,large,well_function_busy,27,92,78,50,600,650,991f8580-151c-4aa1-89e4-e27d8397eec4
2017-09-14,PIN,Balkh,Mazar_e_Sharif,large,well_function_busy,25,85,75,57,1500,5000,40dbabe3-d523-4829-a2c8-fb69f8064870
2017-09-14,PIN,Balkh,Mazar_e_Sharif,large,well_function_busy,24,90,77,58,2000,6000,032b8e02-1a02-453e-bff5-e8d898372ad1
2017-09-14,PIN,Balkh,Mazar_e_Sharif,large,well_function_busy,25,88,75,58,2000,5000,5896169f-417f-4246-af9a-4790a8af7636
2017-09-15,ACTED,Faryab,Maymana,large,moderate_function,26,90,70,50,2500,4000,77ae58e1-5c2c-4e86-bb80-704914677b29
2017-09-17,ACF,Hilmand,Lashkargah,large,well_function_busy,27,80,67,50,1500,5000,80f12bcc-dd7c-4c01-9f48-4a0f8ca311a6
2017-09-17,ACF,Hilmand,Lashkargah,large,well_function_busy,27,85,70,50,2000,6000,ab421f88-92dc-4330-83c9-f5c360e1105f
2017-09-17,ACF,Hilmand,Lashkargah,large,well_function_busy,28,83,70,50,2000,6000,99d0e08b-af2d-40f3-89a1-3cd5e53b86d7
2017-09-19,ACF,Nimroz,Zaranj,large,well_function_busy,29,100,80,50,2000,10000,e9dcea94-7189-475d-86b3-05bb85a5b66d
2017-09-19,ACF,Nimroz,Zaranj,large,well_function_busy,28,85,75,50,1500,8000,89985fd5-88bc-4569-8b22-5ee1a35a366e
2017-09-19,ACF,Nimroz,Zaranj,large,well_function_busy,28,82,78,50,1500,9000,d7648f37-ef52-499f-b4f1-231efa4b9beb
2017-09-19,ACF,Nimroz,Zaranj,large,well_function_busy,29,90,75,50,2000,10000,85285e30-8f90-4aeb-91e9-812bf76698d3
2017-09-19,ACF,Nimroz,Zaranj,large,well_function_busy,28,83,75,50,2500,13000,d067a3b0-ff3f-44f3-8439-211baac0dc94
2017-09-19,ACF,Nimroz,Zaranj,large,well_function_busy,26,82,80,50,2000,12000,bc686316-474d-43f4-ab76-b21f9f2493e1
2017-09-22,ACTED,Takhar,Taloqan,large,well_function_busy,35,95,80,50,4000,3000,6863e14b-ea3b-4fb8-9cde-eef49da7a521
2017-09-22,ACTED,Takhar,Taloqan,large,well_function_busy,30,100,85,50,4000,3000,7bbd3bb6-95e6-4ac9-8432-7c44974ab808
2017-09-22,ACTED,Takhar,Taloqan,large,well_function_busy,25,80,100,50,3500,2000,3a3102a3-3380-459a-9b47-2f4bebe17193
2017-09-26,PIN,Paktya,Gardez,large,well_function_busy,27,81,75,50,4000,12000,af15a40d-fb81-4495-a0d2-2abfa67b3d70
2017-09-26,PIN,Paktya,Gardez,large,well_function_busy,26,86,74,50,4000,12000,ac6af831-c989-4295-9cd5-3df4b72401e0
2017-09-26,PIN,Paktya,Gardez,large,well_function_busy,25,82,72,50,4000,12000,aedacb19-8d69-4168-abbe-2f070ff34c2e
2017-09-27,PIN,Jawzjan,Shiberghan,large,well_function_busy,26,85,75,60,1000,3000,f3b11b85-fac5-4057-9c8c-6bbd476dfe10
2017-09-27,PIN,Jawzjan,Shiberghan,large,well_function_busy,25,88,75,60,1200,4000,76300e80-2278-4a38-b128-9929d266b53f
2017-09-28,PIN,Jawzjan,Shiberghan,large,well_function_busy,26,85,77,60,1000,3500,5f09689d-72e4-4309-a7aa-d3f85e65a2a3
2017-09-28,PIN,Jawzjan,Shiberghan,large,well_function_busy,25,85,75,60,1000,4000,4632f3c6-6e38-4071-b84c-4964b48d2481
2017-09-28,PIN,Jawzjan,Shiberghan,large,well_function_busy,25,88,75,60,1500,5000,d3777b71-89de-435c-b0cc-28f2d0d6cca2
2017-10-04,NRC,Kandahar,Kandahar,large,well_function_busy,22,85,66,50,1500,2000,672c5435-f5d1-4867-b5cb-3776e5d1e44a
2017-10-04,NRC,Kandahar,Kandahar,large,well_function_busy,23,84,68,51,2000,2500,7f23ed2a-7287-4e23-bd54-5658dcdb413d
2017-10-04,NRC,Kandahar,Kandahar,large,well_function_busy,22,87,66,50,1500,2000,511ed522-e315-41d4-9fb6-a7b9a479d1bd
2017-09-26,ACF,Hilmand,Lashkargah,large,well_function_busy,27,80,64,50,2000,8000,a22db269-8108-4b04-a1cb-00491119e045
2017-09-26,ACF,Hilmand,Lashkargah,large,well_function_busy,27,82,75,50,2000,7000,72ba2926-b8ef-4889-920b-3959a2ff4dfd
2017-09-26,ACF,Hilmand,Lashkargah,large,well_function_busy,28,85,75,50,2000,6000,2a1161e2-4d1c-48ea-8104-6873cd20d3f7
2017-10-04,ACTED,Badakhshan,Keshm,large,well_function_busy,27,84,87,50,1500,1800,6d0bc620-69e2-4550-9c39-c0030027053d
2017-10-04,ACTED,Badakhshan,Keshm,large,well_function_busy,28,80,86,51,1300,1700,fd092956-4ae1-48fd-bc40-16bd5e736088
2017-10-04,ACTED,Badakhshan,Keshm,large,well_function_busy,30,80,90,50,1300,1800,4c6071e8-9a35-479f-be9b-d6018070af67
2017-10-05,ACTED,Kunduz,Aliabad,large,well_function_busy,24,85,70,50,500,600,4c0a6ae9-9b7f-4b51-a174-dac2dff69bb1
2017-10-05,ACTED,Kunduz,Aliabad,large,well_function_busy,25,90,75,51,550,650,cb140915-5274-4110-971f-ea13bee31c46
2017-10-05,ACTED,Kunduz,Aliabad,large,well_function_busy,26,95,73,52,700,750,2eaa7a0e-1e54-4816-bb19-3807711d9f91
2017-10-10,ACTED,Baghlan,Pul_e_khumri,large,well_function_busy,25,83,80,50,3000,4000,099b4aaa-f613-48a2-bd6e-07f395e131ba
2017-10-10,ACTED,Baghlan,Pul_e_khumri,large,well_function_busy,24,82,89,50,3000,4000,65b541ad-1395-44f7-ba29-62172a9bd891
2017-10-10,ACTED,Baghlan,Pul_e_khumri,large,well_function_busy,25,88,100,50,3000,4000,0cde0965-db3b-42f5-b7aa-06db77f5f74b
2017-10-12,NRC,Farah,Farah,medium,moderate_function,29,78,68,52,2000,5000,0503b277-fcfc-4016-a66e-9b9fdc3dbbed
2017-10-12,DRC,Farah,Farah,medium,moderate_function,30,80,75,52,2500,5000,09e03870-28c1-436f-bd32-22d556c49cb3
2017-10-12,DRC,Farah,Farah,small,moderate_function,30,79,74,51,3000,6000,0d1877cd-4c3f-41c1-b2db-06d100276367
2017-10-12,PIN,Balkh,Mazar_e_Sharif,large,well_function_busy,25,85,75,60,1500,5000,08fc132c-8dba-438b-b816-068155f3c03c
2017-10-12,PIN,Balkh,Mazar_e_Sharif,large,well_function_busy,26,82,75,60,2000,6000,32129204-a63e-4aaf-97a8-edc05ed484a4
2017-10-12,PIN,Balkh,Mazar_e_Sharif,large,well_function_busy,25,86,75,60,1500,6000,9185939e-3dad-4511-b918-0049d2e7667b
2017-10-13,NRC,Badghis,Abkamari,small,well_function_busy,35,85,80,55,1500,3000,e477caee-e279-467c-a087-f1036bc563b7
2017-10-13,NRC,Badghis,Abkamari,small,well_function_busy,35,80,75,55,1200,2000,8a6cb347-0cac-4bb9-b5f2-d37bfb09618d
2017-10-13,NRC,Badghis,Abkamari,small,well_function_busy,38,90,85,60,1000,4000,01dc9bea-e9ca-45c4-956d-efa696ba9779
2017-10-18,NRC,Badghis,Qala_e_Naw,small,well_function_busy,32,75,70,50,1500,5000,59daa2f8-1bf3-47e7-bb43-96b22a704728
2017-10-18,NRC,Badghis,Qala_e_Naw,small,well_function_busy,32,70,70,50,1000,4000,fa0474ba-e002-492f-b117-a601088c03fe
2017-10-18,NRC,Badghis,Qala_e_Naw,small,well_function_busy,32,80,70,50,1500,3000,33dda9a3-3598-4ed4-806a-97bdb90bf0eb
2017-10-18,ACTED,Kunduz,Emam_saheb,large,well_function_busy,25,95,75,50,600,650,73b9474b-9e1c-4a6d-9af2-4deaae9af0c8
2017-10-18,ACTED,Kunduz,Emam_saheb,large,well_function_busy,25,76,87,51,2000,2000,1db15e00-7037-498e-9d79-ae7e812394cb
2017-10-18,ACTED,Kunduz,Emam_saheb,large,well_function_busy,30,90,100,51,10000,20000,4ebdc6bc-30e4-4dba-bf48-4a0b144f712c
2017-10-29,DRC,Farah,Farah,medium,moderate_function,30,81,75,52,2500,5500,ab28bce0-9069-46a4-88fb-f92cc9bc6dce
2017-10-29,DRC,Farah,Farah,large,well_function_busy,30,82,77,52,3000,6000,b7a59d51-5473-430d-ba3f-3a2e319d2a51
2017-10-29,DRC,Farah,Farah,medium,well_function_busy,28,80,75,51,3000,8000,373d51f8-8829-428b-933f-bec6cbc9057f
2017-10-29,NRC,Kandahar,Kandahar,large,well_function_busy,23,51,66,50,1000,2000,95f747f2-9f4b-4047-8db4-800be0f9fef2
2017-10-29,NRC,Kandahar,Kandahar,large,well_function_busy,22,52,68,51,1200,1800,fb144334-5faf-4404-b183-9f42c569e332
2017-10-29,NRC,Kandahar,Kandahar,large,well_function_busy,23,50,66,52,1000,2000,daf47bcb-488f-48ed-964c-fc339b1d9939
2017-11-01,ACTED,Badakhshan,Keshm,small,well_function_busy,25,92,85,50,1500,1500,6be29858-3bf3-44ce-8ed9-17185a245758
2017-11-01,ACTED,Badakhshan,Keshm,small,well_function_busy,24,80,80,50,1500,1500,229b93a3-bc8b-4a01-9f09-72976e41fef3
