today,general_infoq5_organization,general_infoq1_province,general_infoq2_district,s2_cash_distribution_processq2_1_do_u_think_gave_right_people,s2_cash_distribution_processq2_3_how_mach_cash,s2_cash_distribution_processq2_5_travel_more_than_1_hour,s2_cash_distribution_processq2_6_feel_unsafe_when_travelling,s3_use_of_cash_assistanceq3_4_cash_improved_wellbeing_ur_hhd,s3_use_of_cash_assistanceq3_5_1_food,s3_use_of_cash_assistanceq3_5_2_kitchen_items_nfis,s3_use_of_cash_assistanceq3_5_3_hygiene_items_nfis,s3_use_of_cash_assistanceq3_5_4_clothes_nfis,s3_use_of_cash_assistanceq3_5_5_blankets_nfis,s3_use_of_cash_assistanceq3_5_6_rent,s3_use_of_cash_assistanceq3_5_7_shelter_repair,s3_use_of_cash_assistanceq3_5_8_health,s3_use_of_cash_assistanceq3_5_9_transportation,s3_use_of_cash_assistanceq3_5_10_utillites,s3_use_of_cash_assistanceq3_5_11_debt_repayment,s3_use_of_cash_assistanceq3_5_12_education,s3_use_of_cash_assistanceq3_5_13_saved,s5_multi_sector_outcome_indexq5_4_debt_compared,@_uuid,CSI,rCSI_newThreshold,FCS,FCS_Level,FCS_rCSI
2018-01-01,Solidarites,Bamyan,Panjab,yes,26000,yes,no,yes_improved_a_lot,less_than_half,,,,,,,,,,more_than_half,,,less,dd65ace3-3052-40f4-b06e-dcf486795f05,9,2,24,1,1
2017-08-09,DRC,Kabul,Kabul,yes,20000,no,no,yes_improved_a_little,more_than_half,less_than_half,,almost_nothing,almost_nothing,,,,,,less_than_half,almost_nothing,,more,101e5f22-0e45-4f31-8eaf-c23116236eb2,13,1,33.5,2,1
2017-08-09,DRC,Kabul,Kabul,yes,20000,no,no,yes_improved_a_little,almost_nothing,almost_nothing,almost_nothing,almost_nothing,,,,less_than_half,almost_nothing,,,almost_nothing,,less,2ab9e970-a5d6-4cf2-9e73-a9585e822278,2,3,35.5,2,3
2017-08-09,DRC,Kabul,Paghman,yes,20000,no,no,yes_improved_a_little,less_than_half,almost_nothing,,,,,almost_nothing,,,,more_than_half,,,more,00a00695-2e0d-4c31-a421-5e0c05900115,6,2,45.5,3,3
2017-08-09,DRC,Kabul,Kabul,yes,20000,yes,no,yes_improved_a_little,less_than_half,almost_nothing,,less_than_half,,,,less_than_half,,,,almost_nothing,,less,11cc4d4b-c2f9-42c6-a726-98806c917db5,10,1,48,3,2
2017-08-10,DRC,Kabul,Deh_Sabz,yes,20000,no,no,yes_improved_a_little,more_than_half,almost_nothing,,almost_nothing,,,,,,,less_than_half,,,more,e98d279a-cc14-41dd-96af-7c653f01b238,13,1,39.5,2,1
2017-08-10,DRC,Kabul,Kabul,no_some_needy_people_did_not_get_assistance,20000,no,no,yes_improved_a_little,less_than_half,,,almost_nothing,almost_nothing,,,less_than_half,,,,,,less,61d8328b-85d2-4f5e-b860-67cc701dd58a,3,3,44.5,3,3
2017-08-10,DRC,Kabul,Kabul,yes,20000,yes,no,yes_improved_a_little,less_than_half,,,,,less_than_half,,less_than_half,,,,,,less,8c41ab2a-f89b-49b7-aee3-8885869c1a7a,4,2,42,2,2
2017-08-10,DRC,Kabul,Kabul,no_some_needy_people_did_not_get_assistance,20000,no,yes,yes_improved_a_little,almost_nothing,,,almost_nothing,,almost_nothing,,,,,,,,same,fbdd667c-6f8f-4a68-8e2d-c27efe67ccdf,6,2,30,2,2
2017-08-10,DRC,Kabul,Kabul,no_some_needy_people_did_not_get_assistance,20000,yes,no,yes_improved_a_little,almost_nothing,,,almost_nothing,,less_than_half,,less_than_half,,,,,,same,57f589f3-ebb5-4eeb-8738-597d2a1fb705,11,1,76.5,3,2
