@_uuid,today,general_infoq5_organization,general_infoq1_province,general_infoq2_district,s1_household_profile/head_of_household/female_hhd,s1_household_profile/head_of_household/child_hhd,s1_household_profile/head_of_household/elderly_hhd,s1_household_profile/head_of_household/chronically_ill,s1_household_profile/head_of_household/hh_disability,s2_cash_distribution_processq2_1_do_u_think_gave_right_people,s2_cash_distribution_processq2_3_how_mach_cash,s2_cash_distribution_processq2_5_travel_more_than_1_hour,s2_cash_distribution_processq2_6_feel_unsafe_when_travelling,s3_use_of_cash_assistanceq3_4_cash_improved_wellbeing_ur_hhd,s3_use_of_cash_assistanceq3_5_1_food,s3_use_of_cash_assistanceq3_5_2_kitchen_items_nfis,s3_use_of_cash_assistanceq3_5_3_hygiene_items_nfis,s3_use_of_cash_assistanceq3_5_4_clothes_nfis,s3_use_of_cash_assistanceq3_5_5_blankets_nfis,s3_use_of_cash_assistanceq3_5_6_rent,s3_use_of_cash_assistanceq3_5_7_shelter_repair,s3_use_of_cash_assistanceq3_5_8_health,s3_use_of_cash_assistanceq3_5_9_transportation,s3_use_of_cash_assistanceq3_5_10_utillites,s3_use_of_cash_assistanceq3_5_11_debt_repayment,s3_use_of_cash_assistanceq3_5_12_education,s3_use_of_cash_assistanceq3_5_13_saved,s5_multi_sector_outcome_indexq5_4_debt_compared,CSI,rCSI_newThreshold,FCS,FCS_Level,FCS_rCSI
12381795-42a5-4724-9e52-a2a9fadd7c86,2018-04-29,NRC,Sar_e_Pul,Sar_e_Pul,1,0,0,0,0,yes,14000,no,no,yes_improved_a_lot,more_than_half,,,less_than_half,,,,,,,less_than_half,,,same,7,2,20.5,1,1
f5827bd5-3c91-45b4-bdb7-bd7eec80f9e2,2018-04-29,NRC,Sar_e_Pul,Sar_e_Pul,0,0,0,0,1,yes,14000,no,no,yes_improved_a_lot,more_than_half,,,,,less_than_half,,,,,,,,same,7,2,22.5,1,1
04876fef-c571-4d38-bc75-6f705b20d928,2018-04-29,NRC,Sar_e_Pul,Sar_e_Pul,1,0,0,1,0,yes,14000,no,no,yes_improved_a_lot,more_than_half,,,,,,,,,,,,,same,7,2,21.5,1,1
54ef49b6-f83a-4b59-a295-ce5e5644ecd1,2018-04-29,NRC,Sar_e_Pul,Sar_e_Pul,,,,,,yes,14000,no,no,yes_improved_a_lot,more_than_half,,,,,less_than_half,,less_than_half,,,,,,same,7,2,29.5,2,2
a08ae0c0-0851-49bf-b4f6-85e9cffc73bf,2018-04-29,NRC,Sar_e_Pul,Sar_e_Pul,,,,,,yes,14000,no,no,yes_improved_a_lot,almost_nothing,,,,,,,,,,less_than_half,,,same,7,2,16.5,1,1
10b3170a-474c-4fc2-a731-1c7ffb10f983,2018-04-29,NRC,Sar_e_Pul,Sar_e_Pul,,,,,,yes,14000,yes,no,yes_improved_a_lot,more_than_half,,,,,,,,,,,,,less,7,2,37.5,2,2
4f7b8d5a-b39b-407a-8575-c4f8a8af793f,2018-04-29,NRC,Sar_e_Pul,Sar_e_Pul,,,,,,yes,14000,no,no,yes_improved_a_lot,almost_nothing,,,,,,,,,,,,,less,7,2,27.5,1,1
b4c92816-630b-49e0-8a4c-b5a15dfda824,2018-04-29,NRC,Sar_e_Pul,Sar_e_Pul,1,0,0,0,0,yes,14000,no,no,yes_improved_a_lot,more_than_half,,,,,,,more_than_half,,,less_than_half,,,same,7,2,34.5,2,2
973997b6-d03a-4f66-8883-48a51a2282a5,2018-04-29,NRC,Sar_e_Pul,Sar_e_Pul,1,0,0,0,0,yes,14000,no,no,yes_improved_a_lot,more_than_half,,,,,,,,,,less_than_half,,,less,7,2,21.5,1,1
4be1f400-1f5a-4780-b2c7-e2bed50bffc6,2018-04-29,NRC,Sar_e_Pul,Sar_e_Pul,0,0,1,0,0,yes,14000,no,no,yes_improved_a_lot,more_than_half,,,,,,,,,,,,,same,7,2,37.5,2,2
945ef111-729e-4877-9af9-0baa1dcae4db,2018-04-29,NRC,Sar_e_Pul,Sar_e_Pul,,,,,,yes,14000,no,no,yes_improved_a_lot,less_than_half,,,,,less_than_half,,almost_nothing,,less_than_half,less_than_half,,,less,2,3,27.5,1,2
1a176b68-2937-4f6d-bf25-f7c5c3d6f4c0,2018-04-29,NRC,Sar_e_Pul,Sar_e_Pul,,,,,,yes,14000,no,no,yes_improved_a_lot,less_than_half,,,,,less_than_half,,less_than_half,,less_than_half,,,,less,1,3,25.5,1,2
434bde8a-c88b-4d98-b97b-2e9af0e6dec2,2018-04-29,NRC,Sar_e_Pul,Sar_e_Pul,,,,,,yes,14000,no,no,yes_improved_a_lot,less_than_half,,,,,less_than_half,,almost_nothing,,less_than_half,,,,less,1,3,24.5,1,2
fb6dddbd-8ca5-470a-b5e4-a70b424a9276,2018-04-29,NRC,Sar_e_Pul,Sar_e_Pul,,,,,,yes,14000,no,no,yes_improved_a_lot,less_than_half,,,,,less_than_half,,almost_nothing,,less_than_half,,,,less,1,3,26.5,1,2
21d261f1-ee89-492a-bd1a-01163e17704a,2018-04-29,NRC,Sar_e_Pul,Sar_e_Pul,,,,,,yes,14000,no,no,yes_improved_a_lot,more_than_half,,,,,,,,almost_nothing,less_than_half,,,,less,2,3,26.5,1,2
1f45bcf2-8760-414e-b8b5-cc02a11ad53a,2018-04-29,NRC,Sar_e_Pul,Sar_e_Pul,,,,,,yes,14000,no,no,yes_improved_a_lot,less_than_half,,,,,less_than_half,,almost_nothing,,less_than_half,,,,less,2,3,26.5,1,2
6d0270c4-f1f4-42cb-9492-ef386708b988,2018-04-29,NRC,Sar_e_Pul,Sar_e_Pul,,,,,,yes,14000,no,no,yes_improved_a_lot,less_than_half,,,,,less_than_half,,,,less_than_half,less_than_half,,,less,1,3,30.5,2,3
9261dd21-bd26-4d48-bf46-ac80f40c888d,2018-04-29,NRC,Sar_e_Pul,Sar_e_Pul,,,,,,yes,14000,no,no,yes_improved_a_lot,less_than_half,,,,,less_than_half,,,almost_nothing,less_than_half,,,,less,2,3,26.5,1,2
fb980d4a-e7f2-4d23-9c71-9d464ea5ea33,2018-04-29,NRC,Sar_e_Pul,Sar_e_Pul,,,,,,yes,14000,no,no,yes_improved_a_lot,less_than_half,,,,,less_than_half,,,,less_than_half,,,,less,2,3,25.5,1,2
15b03b8a-e7b3-4fb8-a5ac-a485a539426f,2018-04-29,NRC,Sar_e_Pul,Sar_e_Pul,,,,,,yes,14000,no,no,yes_improved_a_lot,less_than_half,,,,,less_than_half,,,,less_than_half,less_than_half,,,less,2,3,25.5,1,2
fb33023a-661a-4856-84ba-14f6a3aa6fe9,2018-04-25,PUI,Kunar,Chawkay,,,,,,yes,18000,no,no,yes_improved_a_lot,,less_than_half,,less_than_half,almost_nothing,,almost_nothing,,less_than_half,almost_nothing,less_than_half,almost_nothing,,less,18,1,27.5,1,1
f5b513cc-3adc-41ed-8888-295697432a7c,2018-04-25,PUI,Kunar,Chawkay,,,,,,yes,18000,no,no,yes_improved_a_little,,less_than_half,,almost_nothing,less_than_half,,,,almost_nothing,less_than_half,,almost_nothing,,less,12,1,24.5,1,1
c45c3b09-6c1f-4df8-8d0c-213ec3376ebf,2018-04-25,PUI,Kunar,Chawkay,,,,,,yes,18000,no,no,yes_improved_a_lot,,less_than_half,less_than_half,less_than_half,,,,less_than_half,less_than_half,less_than_half,less_than_half,,,less,18,1,25.5,1,1
d5b2612c-595f-4fce-a092-3ff02dacef96,2018-04-25,PUI,Kunar,Chawkay,,,,,,yes,18000,no,no,yes_improved_a_lot,,less_than_half,almost_nothing,less_than_half,,,,almost_nothing,less_than_half,almost_nothing,less_than_half,almost_nothing,,less,15,1,38.5,2,1
7f597a50-1af8-44ff-a4e7-e39b32825a02,2018-04-25,PUI,Kunar,Chawkay,,,,,,yes,18000,no,no,yes_improved_a_lot,,less_than_half,almost_nothing,less_than_half,,,,less_than_half,almost_nothing,almost_nothing,less_than_half,almost_nothing,,less,20,1,37.5,2,1
a868fc8a-8e1f-4dee-858e-1ca612e6d004,2018-04-26,PUI,Kunar,Khas_kunar,,,,,,yes,18000,no,no,yes_improved_a_little,,less_than_half,,less_than_half,,,,less_than_half,almost_nothing,almost_nothing,less_than_half,,,less,15,1,27.5,1,1
ae7ca9dc-6ff0-4156-a805-adc346e3e7bb,2018-04-26,PUI,Kunar,Khas_kunar,,,,,,yes,18000,no,no,yes_improved_a_little,,less_than_half,,less_than_half,almost_nothing,,,less_than_half,almost_nothing,,less_than_half,,,less,15,1,37.5,2,1
d16821d5-347c-42ec-860c-0cf4f2df6c6f,2018-04-26,PUI,Kunar,Nari,,,,,,yes,18000,no,no,yes_improved_a_lot,,less_than_half,,less_than_half,,,,less_than_half,almost_nothing,almost_nothing,less_than_half,,,same,25,1,36.5,2,1
